地震時間,規模,深度
2000,2.44,19.28
2000,2.87,21.86
2000,2.98,15.83
2000,2.73,6.31
2000,2.76,11.67
2000,2.23,21.11
2000,2.48,18.86
2000,2.34,18.69
2000,2.34,18.6
2000,2.41,17.59
2000,2.76,17.75
2000,4.28,15.27
2000,2.57,19.06
2000,3.32,16.56
2000,2.44,18.69
2000,1.78,7.4
2000,1.99,7.63
2000,1.86,12.38
2000,2.06,21.76
2000,2.08,17.86
2000,2.35,18.92
2000,2.1,17.69
2000,2.23,21.06
2000,2.28,18.83
2000,2.26,21.14
2000,2.24,19.77
2000,2.25,19.51
2000,2.46,19.34
2000,2.77,19.77
2000,4.42,18.91
2000,2.16,20.38
2000,2.46,20.46
2000,2.25,20.46
2000,2.2,21.95
2000,1.42,3.75
2000,2.16,18.92
2000,2.22,14.68
2000,3.09,13.26
2000,1.38,5.63
2000,3.49,19.15
2000,2.72,17.56
2000,4.01,15.48
2000,3.11,20.8
2000,3.3,19.96
2000,5.35,12.02
2000,2.6,11.41
2000,1.99,15.24
2000,2.79,10.72
2000,1.43,5.22
2000,2.86,24.61
2000,1.57,17.8
2000,3.34,15.29
2000,3.23,20.49
2000,1.9,2.52
2000,1.71,12.54
2000,2.13,17.87
2000,2.19,21.82
2000,2.37,17.19
2000,1.36,3.25
2000,1.25,3.29
2000,1.72,4.78
2000,2.6,21.39
2000,2.42,9.56
2000,1.66,10.08
2000,1.6,1.87
2000,2.2,20.36
2000,2.09,9.5
2000,1.74,26.01
2000,2.24,20.56
2000,2.56,1.92
2000,2.2,20.78
2000,2,7.31
2000,1.29,7.79
2000,1.18,8.28
2000,1.07,12.14
2000,2.36,7.87
2000,2.38,15.64
2000,3.1,18.45
2000,5.04,15.65
2000,2.03,11.58
2000,2.25,1.85
2000,2.96,11.22
2000,1.54,12.43
2000,2.46,24.64
2000,1.66,7.5
2000,2.44,2.5
2000,3.32,6.89
2000,2,11.06
2000,2,5.76
2000,1.94,14.86
2000,1.78,22.73
2000,2.85,2.02
2000,1.74,8.38
2000,2.88,12.43
2000,2.02,7.16
2000,2.51,6.63
2000,1.45,9
2000,2.47,13
2000,2.24,3.51
2000,2.22,2.56
2000,2.44,18.52
2000,1.49,7.37
2000,2.11,21
2000,2.07,21.86
2000,1.96,11.35
2000,2.4,14.1
2000,2.53,10.57
2000,2.79,11.44
2000,1.66,28.97
2000,2.14,11.38
2000,1.66,13.47
2000,1.61,6.43
2000,1.59,7.8
2000,3.1,3.95
2000,2.45,29.29
2000,1.78,8.25
2000,2.15,1.6
2000,1.9,11.34
2000,1.8,23.22
2000,2.29,25.44
2000,1.47,12
2000,1.96,4.77
2000,1.77,5.7
2000,1.9,20.71
2000,2.7,25.21
2000,2.17,7.62
2000,1.34,13.92
2000,1.53,3.83
2000,1.48,15.26
2000,1.49,7.68
2000,1.72,13.21
2000,1.86,11.22
2000,1.84,23.83
2000,1.43,7.17
2000,1.69,21.41
2000,2.16,15.19
2000,3.3,15.1
2000,2.18,21.22
2000,2.25,16.98
2000,1.96,4.14
2000,1.69,11.81
2000,3.92,143.08
2000,2.07,10.74
2000,1.44,9.63
2000,3.43,16.04
2000,2.34,43.61
2000,1.99,18.11
2000,2.48,22.5
2000,1.93,9.74
2000,3.65,9.47
2000,3.18,23.63
2000,2.21,25.99
2000,2.59,90.56
2000,3.01,26
2000,2.03,14.74
2000,1.77,15.89
2000,2.38,10.83
2000,1.8,28.36
2000,3.04,2.49
2000,1.83,10.01
2000,2.57,5.38
2000,3.41,2.86
2000,1.78,7.08
2000,2.84,10.67
2000,2.04,12.94
2000,2.46,10.25
2000,3.01,21.78
2000,2.65,15.51
2000,2.75,4.7
2000,2,20.33
2000,2.51,18.39
2000,1.42,4.38
2000,2.62,48.41
2000,2.25,30.26
2000,2.62,31.99
2000,2.65,31.93
2000,3.06,76.06
2000,2.04,19.34
2000,1.97,11.66
2000,2.55,20.35
2000,2.12,4.78
2000,1.56,4.28
2000,2.6,2.37
2000,2.59,5.74
2000,2.22,8.03
2000,1.38,6.29
2000,1.98,10.96
2000,1.43,1.8
2000,1.75,6.65
2000,2.14,11.71
2000,2.24,36.05
2000,2.71,18.77
2000,3.14,59.53
2000,1.95,17.75
2000,2.53,4.71
2000,2.16,11.64
2000,2.88,13.7
2000,2.46,1.37
2000,1.69,7.62
2000,1.96,8.7
2000,2.68,8.61
2000,2.26,15.57
2000,2.25,27.71
2000,2.59,15.27
2000,2.5,20.19
2000,2.02,15.31
2000,2.2,23.95
2000,3.22,23.97
2000,1.49,3.92
2000,4.11,31.44
2000,2.31,11.65
2000,1.39,5.74
2000,2.21,9.82
2000,1.46,14.64
2000,1.14,0.5
2000,2.28,30.79
2000,1.4,6.29
2000,1.94,16.13
2000,1.58,10.39
2000,2.62,20.63
2000,2.26,20.22
2000,3.18,22.08
2000,1.86,11.07
2000,1.88,10.23
2000,1.91,12.29
2000,2.3,31.47
2000,1.9,11
2000,3.17,4.36
2000,1.84,6.47
2000,2.23,9.97
2000,1.74,1.82
2000,3.37,3.94
2000,2.01,8.74
2000,2.95,25.36
2000,2.35,7.82
2000,2.63,26.74
2000,1.66,14.52
2000,2.4,13.76
2000,1.86,7.07
2000,2.03,16.18
2000,2.22,13.99
2000,1.68,7.74
2000,3.01,54.36
2000,2.13,15.85
2000,2.29,7.57
2000,2.26,7.48
2000,1.63,10.6
2000,1.11,4.54
2000,1.66,7.93
2000,2.83,34.08
2000,1.53,7.64
2000,1.61,7.69
2000,2.29,15.78
2000,3.12,75.03
2000,1.8,7.62
2000,2.77,8.05
2000,2.16,14.03
2000,3.34,8.74
2000,2.1,15.58
2000,2.04,21.03
2000,1.74,4
2000,1.78,7.59
2000,1.35,9.75
2000,2.83,97.98
2000,2.5,37.66
2000,2.83,19.72
2000,2.3,21.69
2000,2.61,19.91
2000,2.24,33.97
2000,1.1,12.31
2000,2.32,7.48
2000,2.57,4.23
2000,1.44,3.34
2000,1.58,1.49
2000,3,12.21
2000,2.56,7.2
2000,1.52,11.33
2000,1.31,10.2
2000,2.77,22.36
2000,2.39,72.76
2000,1.21,9.3
2000,1.43,5.84
2000,2.48,23.2
2000,2.11,32.74
2000,3.02,13
2000,2.44,4.75
2000,2.19,11.13
2000,1.83,7.61
2000,3.52,11.83
2000,3.2,13.64
2000,1.3,7.14
2000,1.28,9.55
2000,2.07,13.39
